drop_id,retailer,source,zip_code,price_observed,observed_at,notes,product_id,product_name,product_type,exclusive_flag,msrp,drop_score
1,Target,app,60491,49.99,2026-03-27T20:16:04.167692,ETB restock via Target app,1,Paldea Evolved - Elite Trainer Box,ETB,False,59.99,9.5
2,Walmart,app,0,59.99,2026-04-09T02:01:22.939714,First Partner Collection and Mega Lucario Poster Collction and Prismatic ETB,35,Prismatic Evolutions - Elite Trainer Box,ETB,False,59.99,3.0
2,Walmart,app,0,59.99,2026-04-09T02:01:22.939714,First Partner Collection and Mega Lucario Poster Collction and Prismatic ETB,5,Ascended Heroes - Poster Collection,Poster Collection,False,49.99,3.0
